[0122/215745.867:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0123/220625.493:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/220630.509:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/224011.500:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/224016.509:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/224021.515:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/224026.519:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/224031.527:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/224036.534:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/224041.556:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/224046.571:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/224051.577:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0123/224056.587:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201014.986:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201015.012:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201019.993:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201020.022:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201025.007:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201025.025:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201030.016:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201030.040:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201035.021:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201035.061:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201040.028:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201040.071:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201045.033:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201045.088:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201050.038:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201050.102:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201055.056:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201055.107:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201100.068:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201100.116:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201105.074:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201105.123:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201110.084:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201110.133:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201115.098:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201115.149:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201120.105:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201120.152:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201125.113:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201125.154:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0124/201129.801:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0125/000551.063:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0125/033754.672:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
